19^3 = 6859 =  a:3 b:10 c:18
29^3 = 24389 =  a:11 b:15 c:27
41^3 = 68921 =  a:2 b:17 c:40
41^3 = 68921 =  a:6 b:32 c:33
53^3 = 148877 =  a:29 b:34 c:44
67^3 = 300763 =  a:22 b:51 c:54
71^3 = 357911 =  a:14 b:23 c:70
89^3 = 704969 =  a:17 b:40 c:86
97^3 = 912673 =  a:45 b:69 c:79
103^3 = 1092727 =  a:12 b:31 c:102
113^3 = 1442897 =  a:50 b:74 c:97
127^3 = 2048383 =  a:13 b:65 c:121
137^3 = 2571353 =  a:44 b:73 c:128
139^3 = 2685619 =  a:94 b:96 c:99
151^3 = 3442951 =  a:46 b:47 c:148
167^3 = 4657463 =  a:12 b:86 c:159
179^3 = 5735339 =  a:17 b:57 c:177
181^3 = 5929741 =  a:108 b:109 c:150
191^3 = 6967871 =  a:39 b:146 c:156
193^3 = 7189057 =  a:25 b:68 c:190
197^3 = 7645373 =  a:53 b:58 c:194
199^3 = 7880599 =  a:6 b:127 c:180
229^3 = 12008989 =  a:102 b:157 c:192
229^3 = 12008989 =  a:76 b:165 c:192
239^3 = 13651919 =  a:15 b:114 c:230
239^3 = 13651919 =  a:23 b:178 c:200
241^3 = 13997521 =  a:113 b:124 c:220
251^3 = 15813251 =  a:6 b:179 c:216
269^3 = 19465109 =  a:152 b:158 c:229
269^3 = 19465109 =  a:66 b:117 c:260
281^3 = 22188041 =  a:50 b:172 c:257
293^3 = 25153757 =  a:14 b:189 c:264
293^3 = 25153757 =  a:8 b:229 c:236
307^3 = 28934443 =  a:27 b:64 c:306
311^3 = 30080231 =  a:102 b:194 c:279
317^3 = 31855013 =  a:15 b:213 c:281
317^3 = 31855013 =  a:162 b:173 c:282
331^3 = 36264691 =  a:88 b:222 c:291
349^3 = 42508549 =  a:48 b:268 c:285
373^3 = 51895117 =  a:40 b:141 c:366
379^3 = 54439939 =  a:123 b:276 c:316
383^3 = 56181887 =  a:160 b:191 c:356
389^3 = 58863869 =  a:141 b:272 c:330
419^3 = 73560059 =  a:107 b:292 c:362
419^3 = 73560059 =  a:235 b:236 c:362
431^3 = 80062991 =  a:135 b:188 c:414
431^3 = 80062991 =  a:200 b:239 c:388
461^3 = 97972181 =  a:5 b:86 c:460
467^3 = 101847563 =  a:60 b:342 c:395
479^3 = 109902239 =  a:109 b:293 c:437
479^3 = 109902239 =  a:256 b:311 c:398
479^3 = 109902239 =  a:47 b:350 c:406
487^3 = 115501303 =  a:54 b:183 c:478
491^3 = 118370771 =  a:75 b:366 c:410
